sparsity,accuracy,precision,recall,f1
0.0,0.694,0.7043010752688172,0.9492753623188406,0.808641975308642
0.1,0.722,0.7224546722454672,0.9384057971014492,0.8163908589440504
0.2,0.683,0.6649937264742786,0.9601449275362319,0.7857672349888807
0.3,0.703,0.7005420054200542,0.9365942028985508,0.8015503875968992
0.4,0.651,0.7838827838827839,0.7753623188405797,0.7795992714025501
0.5,0.669,0.6480582524271845,0.967391304347826,0.7761627906976745
0.6,0.447,0.5714285714285714,0.6739130434782609,0.6184538653366584
0.7,0.117,1.0,0.0018115942028985507,0.003616636528028933
0.8,0.111,0.0,0.0,0.0
0.9,0.117,0.0,0.0,0.0
