sparsity,accuracy,precision,recall,f1
0.0,0.5301837270341208,0.4606149878490304,0.42174720022766465,0.437629008182023
0.1,0.536745406824147,0.459548554645642,0.4251704744287858,0.43842533080519636
0.2,0.5393700787401575,0.4745125690121485,0.42759805978905946,0.44469881286156737
0.3,0.5223097112860893,0.46359294516064775,0.41281528079032137,0.4181935006631722
0.4,0.48293963254593175,0.4186627241213065,0.3859706873860581,0.3872457761752248
0.5,0.40813648293963256,0.3979338444147024,0.32425050439346437,0.30658404625097274
0.6,0.28346456692913385,0.2545104099182786,0.23318234411631306,0.22998276137007712
0.7,0.17585301837270342,0.18856871118580437,0.15533988466906926,0.10108545072769708
0.8,0.003937007874015748,0.05,0.0031914893617021275,0.006
0.9,0.0013123359580052493,0.06666666666666667,0.0012195121951219512,0.0023952095808383233
