sparsity,accuracy,precision,recall,f1
0.0,0.5039370078740157,0.5032797164300055,0.503589475185675,0.5030149109273593
0.05,0.5078740157480315,0.5067499319454991,0.5070702833232494,0.506067029201881
0.1,0.5039370078740157,0.5025315565114632,0.5045387066681972,0.5027861558426738
0.15,0.5078740157480315,0.5071929400386848,0.5108741282223588,0.5077148678035133
0.2,0.49868766404199477,0.4982028938799242,0.5005877885266131,0.4991362820578877
0.25,0.5091863517060368,0.4069757412398921,0.4092157827524936,0.40722959484776594
0.3,0.4763779527559055,0.47897581551158874,0.4796006684957157,0.4757393389515041
0.35,0.5,0.4027592452592453,0.40091445478872867,0.39826194978092216
0.4,0.47112860892388453,0.3955040252556931,0.3831504981757338,0.3749890639849839
0.45,0.4776902887139108,0.40186554837880395,0.3830045160254034,0.3787171312530907
0.5,0.46062992125984253,0.37607064547701025,0.3622997970468968,0.35865083222892913
0.55,0.4461942257217848,0.36397871232124485,0.35570809090162675,0.3560104213717822
0.6,0.36089238845144356,0.3439337593467464,0.2905625710953649,0.28659991014347747
0.65,0.2388451443569554,0.22367795603089718,0.19721549797246182,0.1819247933979795
0.7,0.11811023622047244,0.1280310625458305,0.10551896826326827,0.0941362650965039
0.75,0.16141732283464566,0.2554902395740905,0.1476913785585547,0.0873730743059407
0.8,0.11286089238845144,0.3322554963053881,0.1012407710543916,0.08889436986647767
0.85,0.08136482939632546,0.12013071895424836,0.06474534806138335,0.07376020627417276
0.9,0.006561679790026247,0.07692307692307693,0.005319148936170213,0.009950248756218905
0.95,0.0,0.0,0.0,0.0
